"Latest analytics stable version",,"analytics stable"
"Latest analytics current version",,"analytics current"
"Latest analytics unstable version",,"analytics unstable"
"Latest angry-omnibus-toolchain stable version",,"angry-omnibus-toolchain stable"
"Latest angry-omnibus-toolchain current version",,"angry-omnibus-toolchain current"
"Latest angry-omnibus-toolchain unstable version",,"angry-omnibus-toolchain unstable"
"Latest angrychef stable version",,"angrychef stable"
"Latest angrychef current version",,"angrychef current"
"Latest angrychef unstable version",,"angrychef unstable"
"Latest automate stable version",,"automate stable"
"Latest automate current version",,"automate current"
"Latest automate unstable version",,"automate unstable"
"Latest chef stable version",,"chef stable"
"Latest chef current version",,"chef current"
"Latest chef unstable version",,"chef unstable"
"Latest chef-backend stable version",,"chef-backend stable"
"Latest chef-backend current version",,"chef-backend current"
"Latest chef-backend unstable version",,"chef-backend unstable"
"Latest chef-server stable version",,"chef-server stable"
"Latest chef-server current version",,"chef-server current"
"Latest chef-server unstable version",,"chef-server unstable"
"Latest chef-server-ha-provisioning stable version",,"chef-server-ha-provisioning stable"
"Latest chef-server-ha-provisioning current version",,"chef-server-ha-provisioning current"
"Latest chef-server-ha-provisioning unstable version",,"chef-server-ha-provisioning unstable"
"Latest chefdk stable version",,"chefdk stable"
"Latest chefdk current version",,"chefdk current"
"Latest chefdk unstable version",,"chefdk unstable"
"Latest compliance stable version",,"compliance stable"
"Latest compliance current version",,"compliance current"
"Latest compliance unstable version",,"compliance unstable"
"Latest delivery stable version",,"delivery stable"
"Latest delivery current version",,"delivery current"
"Latest delivery unstable version",,"delivery unstable"
"Latest ha stable version",,"ha stable"
"Latest ha current version",,"ha current"
"Latest ha unstable version",,"ha unstable"
"Latest harmony stable version",,"harmony stable"
"Latest harmony current version",,"harmony current"
"Latest harmony unstable version",,"harmony unstable"
"Latest inspec stable version",,"inspec stable"
"Latest inspec current version",,"inspec current"
"Latest inspec unstable version",,"inspec unstable"
"Latest manage stable version",,"manage stable"
"Latest manage current version",,"manage current"
"Latest manage unstable version",,"manage unstable"
"Latest marketplace stable version",,"marketplace stable"
"Latest marketplace current version",,"marketplace current"
"Latest marketplace unstable version",,"marketplace unstable"
"Latest omnibus-toolchain stable version",,"omnibus-toolchain stable"
"Latest omnibus-toolchain current version",,"omnibus-toolchain current"
"Latest omnibus-toolchain unstable version",,"omnibus-toolchain unstable"
"Latest private-chef stable version",,"private-chef stable"
"Latest private-chef current version",,"private-chef current"
"Latest private-chef unstable version",,"private-chef unstable"
"Latest push-jobs-client stable version",,"push-jobs-client stable"
"Latest push-jobs-client current version",,"push-jobs-client current"
"Latest push-jobs-client unstable version",,"push-jobs-client unstable"
"Latest push-jobs-server stable version",,"push-jobs-server stable"
"Latest push-jobs-server current version",,"push-jobs-server current"
"Latest push-jobs-server unstable version",,"push-jobs-server unstable"
"Latest reporting stable version",,"reporting stable"
"Latest reporting current version",,"reporting current"
"Latest reporting unstable version",,"reporting unstable"
"Latest supermarket stable version",,"supermarket stable"
"Latest supermarket current version",,"supermarket current"
"Latest supermarket unstable version",,"supermarket unstable"
"Latest sync stable version",,"sync stable"
"Latest sync current version",,"sync current"
"Latest sync unstable version",,"sync unstable"
